year,model,highway_mpg
1984,Accord,29
1985,Accord,27
1986,Accord,27
1987,Accord,27
1988,Accord,28
1989,Accord,27
1990,Accord,26
1991,Accord,26
1992,Accord,26
1993,Accord,26
1994,Accord,27
1995,Accord,27
1996,Accord,28
1997,Accord,28
1998,Accord,27
1999,Accord,27
2000,Accord,28
2001,Accord,27
2002,Accord,28
2003,Accord,31
2004,Accord,31
2005,Accord,31
2006,Accord,31
2007,Accord,31
2008,Accord,31
2009,Accord,31
2010,Accord,31
2011,Accord,33
2012,Accord,34
2013,Accord,35
2014,Accord,34
1984,Camry,37
1985,Camry,30
1986,Camry,33
1987,Camry,28
1988,Camry,27
1989,Camry,23
1990,Camry,28
1991,Camry,28
1992,Camry,25
1993,Camry,26
1994,Camry,26
1995,Camry,26
1996,Camry,25
1997,Camry,28
1998,Camry,28
1999,Camry,28
2000,Camry,28
2001,Camry,29
2002,Camry,29
2003,Camry,29
2004,Camry,29
2005,Camry,31
2006,Camry,31
2007,Camry,30
2008,Camry,31
2009,Camry,28
2010,Camry,33
2011,Camry,33
2012,Camry,35
2013,Camry,35
2014,Camry,35
1984,Civic,39
1985,Civic,29
1986,Civic,39
1987,Civic,39
1988,Civic,32
1989,Civic,29
1990,Civic,30
1991,Civic,30
1992,Civic,33
1993,Civic,35
1994,Civic,33
1995,Civic,33
1996,Civic,33
1997,Civic,35
1998,Civic,33
1999,Civic,32
2000,Civic,32
2001,Civic,34
2002,Civic,35
2003,Civic,36
2004,Civic,36
2005,Civic,36
2006,Civic,36
2007,Civic,36
2008,Civic,36
2009,Civic,34
2010,Civic,36
2011,Civic,34
2012,Civic,39
2013,Civic,31
2014,Civic,39
1984,Corolla,31
1985,Corolla,29
1986,Corolla,30
1987,Corolla,29
1988,Corolla,28
1989,Corolla,28
1990,Corolla,26
1991,Corolla,26
1992,Corolla,26
1993,Corolla,26
1994,Corolla,27
1995,Corolla,27
1996,Corolla,27
1997,Corolla,27
1998,Corolla,30
1999,Corolla,30
2000,Corolla,29
2001,Corolla,30
2002,Corolla,30
2003,Corolla,34
2004,Corolla,34
2005,Corolla,35
2006,Corolla,35
2007,Corolla,35
2008,Corolla,35
2009,Corolla,30
2010,Corolla,34
2011,Corolla,34
2012,Corolla,34
2013,Corolla,34
2014,Corolla,36
1984,F150 Pickup 2WD,15
1985,F150 Pickup 2WD,18
1986,F150 Pickup 2WD,17
1987,F150 Pickup 2WD,13
1988,F150 Pickup 2WD,17
1989,F150 Pickup 2WD,15
1990,F150 Pickup 2WD,17
1991,F150 Pickup 2WD,19
1992,F150 Pickup 2WD,17
1993,F150 Pickup 2WD,18
1994,F150 Pickup 2WD,18
1995,F150 Pickup 2WD,18
1996,F150 Pickup 2WD,17
1997,F150 Pickup 2WD,20
1998,F150 Pickup 2WD,19
1999,F150 Pickup 2WD,18
2000,F150 Pickup 2WD,19
2001,F150 Pickup 2WD,19
2002,F150 Pickup 2WD,19
2003,F150 Pickup 2WD,19
2004,F150 Pickup 2WD,18
2005,F150 Pickup 2WD,18
2006,F150 Pickup 2WD,19
2007,F150 Pickup 2WD,19
2008,F150 Pickup 2WD,19
2009,F150 Pickup 2WD,19
2010,F150 Pickup 2WD,21
2011,F150 Pickup 2WD,18
2012,F150 Pickup 2WD,18
2013,F150 Pickup 2WD,18
2014,F150 Pickup 2WD,22
1984,Mustang,22
1985,Mustang,22
1986,Mustang,23
1987,Mustang,24
1988,Mustang,25
1989,Mustang,24
1990,Mustang,24
1991,Mustang,26
1992,Mustang,26
1993,Mustang,26
1994,Mustang,26
1995,Mustang,26
1996,Mustang,27
1997,Mustang,27
1998,Mustang,26
1999,Mustang,25
2000,Mustang,25
2001,Mustang,25
2002,Mustang,25
2003,Mustang,25
2004,Mustang,25
2005,Mustang,23
2006,Mustang,23
2007,Mustang,24
2008,Mustang,24
2009,Mustang,26
2010,Mustang,24
2011,Mustang,23
2012,Mustang,31
2013,Mustang,31
2014,Mustang,29
