year,make,model,city_mpg,highway_mpg,annual_fuel_cost,avg_gas_price
1984,Honda,Accord,23,29,2100,1.21
1985,Honda,Accord,22,27,2150,1.2
1986,Honda,Accord,21,27,2250,0.93
1987,Honda,Accord,21,27,2250,0.95
1988,Honda,Accord,21,28,2150,1.08
1989,Honda,Accord,21,27,2250,1.12
1990,Honda,Accord,19,26,2350,1.16
1991,Honda,Accord,19,26,2350,1.14
1992,Honda,Accord,19,26,2350,1.087
1993,Honda,Accord,19,26,2350,1.067
1994,Honda,Accord,20,27,2350,1.075
1995,Honda,Accord,21,27,2250,1.111
1996,Honda,Accord,20,28,2250,1.199
1997,Honda,Accord,21,28,2250,1.199
1998,Honda,Accord,19,27,2350,1.03
1999,Honda,Accord,20,27,2350,1.136
2000,Honda,Accord,20,28,2250,1.484
2001,Honda,Accord,20,27,2250,1.42
2002,Honda,Accord,20,28,2250,1.345
2003,Honda,Accord,21,31,2100,1.561
2004,Honda,Accord,21,31,2150,1.852
2005,Honda,Accord,21,31,2150,2.27
2006,Honda,Accord,21,31,2100,2.572
2007,Honda,Accord,21,31,2100,2.796
2008,Honda,Accord,21,31,2150,3.246
2009,Honda,Accord,22,31,2100,2.353
2010,Honda,Accord,21,31,2100,2.782
2011,Honda,Accord,23,33,1900,3.521
2012,Honda,Accord,23,34,1900,3.618
2013,Honda,Accord,26,35,1800,3.505
2014,Honda,Accord,26,34,1800,3.48
1984,Toyota,Camry,29,37,1800,1.21
1985,Toyota,Camry,26,30,2100,1.2
1986,Toyota,Camry,26,33,1950,0.93
1987,Toyota,Camry,22,28,2150,0.95
1988,Toyota,Camry,22,27,2150,1.08
1989,Toyota,Camry,19,23,2450,1.12
1990,Toyota,Camry,22,28,2150,1.16
1991,Toyota,Camry,21,28,2150,1.14
1992,Toyota,Camry,18,25,2450,1.087
1993,Toyota,Camry,18,26,2450,1.067
1994,Toyota,Camry,18,26,2450,1.075
1995,Toyota,Camry,19,26,2450,1.111
1996,Toyota,Camry,18,25,2450,1.199
1997,Toyota,Camry,20,28,2250,1.199
1998,Toyota,Camry,20,28,2250,1.03
1999,Toyota,Camry,20,28,2250,1.136
2000,Toyota,Camry,20,28,2250,1.484
2001,Toyota,Camry,20,29,2150,1.42
2002,Toyota,Camry,21,29,2150,1.345
2003,Toyota,Camry,21,29,2150,1.561
2004,Toyota,Camry,20,29,2150,1.852
2005,Toyota,Camry,21,31,2100,2.27
2006,Toyota,Camry,21,31,2100,2.572
2007,Toyota,Camry,21,30,2150,2.796
2008,Toyota,Camry,21,31,2100,3.246
2009,Toyota,Camry,19,28,2250,2.353
2010,Toyota,Camry,22,33,2000,2.782
2011,Toyota,Camry,22,33,2000,3.521
2012,Toyota,Camry,25,35,1850,3.618
2013,Toyota,Camry,25,35,1850,3.505
2014,Toyota,Camry,25,35,1850,3.48
1984,Honda,Civic,32,39,1500,1.21
1985,Honda,Civic,25,29,1900,1.2
1986,Honda,Civic,31,39,1550,0.93
1987,Honda,Civic,31,39,1550,0.95
1988,Honda,Civic,25,32,1850,1.08
1989,Honda,Civic,23,29,2000,1.12
1990,Honda,Civic,24,30,2000,1.16
1991,Honda,Civic,24,30,2000,1.14
1992,Honda,Civic,26,33,1800,1.087
1993,Honda,Civic,26,35,1800,1.067
1994,Honda,Civic,25,33,1850,1.075
1995,Honda,Civic,25,33,1850,1.111
1996,Honda,Civic,25,33,1850,1.199
1997,Honda,Civic,29,35,1650,1.199
1998,Honda,Civic,25,33,1850,1.03
1999,Honda,Civic,24,32,1900,1.136
2000,Honda,Civic,24,32,1900,1.484
2001,Honda,Civic,26,34,1800,1.42
2002,Honda,Civic,26,35,1750,1.345
2003,Honda,Civic,29,36,1600,1.561
2004,Honda,Civic,29,36,1600,1.852
2005,Honda,Civic,29,36,1600,2.27
2006,Honda,Civic,26,36,1750,2.572
2007,Honda,Civic,25,36,1800,2.796
2008,Honda,Civic,25,36,1800,3.246
2009,Honda,Civic,26,34,1800,2.353
2010,Honda,Civic,25,36,1800,2.782
2011,Honda,Civic,26,34,1800,3.521
2012,Honda,Civic,28,39,1600,3.618
2013,Honda,Civic,22,31,2300,3.505
2014,Honda,Civic,30,39,1550,3.48
1984,Toyota,Corolla,25,31,1900,1.21
1985,Toyota,Corolla,24,29,2000,1.2
1986,Toyota,Corolla,24,30,2000,0.93
1987,Toyota,Corolla,24,29,2000,0.95
1988,Toyota,Corolla,23,28,2100,1.08
1989,Toyota,Corolla,23,28,2100,1.12
1990,Toyota,Corolla,23,26,2150,1.16
1991,Toyota,Corolla,23,26,2150,1.14
1992,Toyota,Corolla,23,26,2150,1.087
1993,Toyota,Corolla,23,26,2150,1.067
1994,Toyota,Corolla,23,27,2150,1.075
1995,Toyota,Corolla,23,27,2100,1.111
1996,Toyota,Corolla,23,27,2100,1.199
1997,Toyota,Corolla,22,27,2150,1.199
1998,Toyota,Corolla,24,30,2000,1.03
1999,Toyota,Corolla,24,30,2000,1.136
2000,Toyota,Corolla,24,29,2000,1.484
2001,Toyota,Corolla,25,30,1900,1.42
2002,Toyota,Corolla,25,30,1900,1.345
2003,Toyota,Corolla,25,34,1850,1.561
2004,Toyota,Corolla,25,34,1850,1.852
2005,Toyota,Corolla,26,35,1800,2.27
2006,Toyota,Corolla,26,35,1800,2.572
2007,Toyota,Corolla,26,35,1800,2.796
2008,Toyota,Corolla,26,35,1800,3.246
2009,Toyota,Corolla,22,30,2100,2.353
2010,Toyota,Corolla,26,34,1800,2.782
2011,Toyota,Corolla,26,34,1800,3.521
2012,Toyota,Corolla,26,34,1800,3.618
2013,Toyota,Corolla,26,34,1800,3.505
2014,Toyota,Corolla,27,36,1650,3.48
1984,Ford,F150 Pickup 2WD,13,15,3700,1.21
1985,Ford,F150 Pickup 2WD,14,18,3250,1.2
1986,Ford,F150 Pickup 2WD,14,17,3450,0.93
1987,Ford,F150 Pickup 2WD,12,13,4350,0.95
1988,Ford,F150 Pickup 2WD,15,17,3450,1.08
1989,Ford,F150 Pickup 2WD,13,15,3700,1.12
1990,Ford,F150 Pickup 2WD,15,17,3450,1.16
1991,Ford,F150 Pickup 2WD,14,19,3250,1.14
1992,Ford,F150 Pickup 2WD,14,17,3450,1.087
1993,Ford,F150 Pickup 2WD,14,18,3450,1.067
1994,Ford,F150 Pickup 2WD,14,18,3450,1.075
1995,Ford,F150 Pickup 2WD,14,18,3450,1.111
1996,Ford,F150 Pickup 2WD,12,17,3700,1.199
1997,Ford,F150 Pickup 2WD,15,20,3050,1.199
1998,Ford,F150 Pickup 2WD,15,19,3250,1.03
1999,Ford,F150 Pickup 2WD,14,18,3250,1.136
2000,Ford,F150 Pickup 2WD,14,19,3250,1.484
2001,Ford,F150 Pickup 2WD,14,19,3250,1.42
2002,Ford,F150 Pickup 2WD,15,19,3050,1.345
2003,Ford,F150 Pickup 2WD,14,19,3250,1.561
2004,Ford,F150 Pickup 2WD,14,18,3250,1.852
2005,Ford,F150 Pickup 2WD,14,18,3450,2.27
2006,Ford,F150 Pickup 2WD,14,19,3250,2.572
