year,model,city_mpg
1984,Accord,23
1985,Accord,22
1986,Accord,21
1987,Accord,21
1988,Accord,21
1989,Accord,21
1990,Accord,19
1991,Accord,19
1992,Accord,19
1993,Accord,19
1994,Accord,20
1995,Accord,21
1996,Accord,20
1997,Accord,21
1998,Accord,19
1999,Accord,20
2000,Accord,20
2001,Accord,20
2002,Accord,20
2003,Accord,21
2004,Accord,21
2005,Accord,21
2006,Accord,21
2007,Accord,21
2008,Accord,21
2009,Accord,22
2010,Accord,21
2011,Accord,23
2012,Accord,23
2013,Accord,26
2014,Accord,26
1984,Camry,29
1985,Camry,26
1986,Camry,26
1987,Camry,22
1988,Camry,22
1989,Camry,19
1990,Camry,22
1991,Camry,21
1992,Camry,18
1993,Camry,18
1994,Camry,18
1995,Camry,19
1996,Camry,18
1997,Camry,20
1998,Camry,20
1999,Camry,20
2000,Camry,20
2001,Camry,20
2002,Camry,21
2003,Camry,21
2004,Camry,20
2005,Camry,21
2006,Camry,21
2007,Camry,21
2008,Camry,21
2009,Camry,19
2010,Camry,22
2011,Camry,22
2012,Camry,25
2013,Camry,25
2014,Camry,25
1984,Civic,32
1985,Civic,25
1986,Civic,31
1987,Civic,31
1988,Civic,25
1989,Civic,23
1990,Civic,24
1991,Civic,24
1992,Civic,26
1993,Civic,26
1994,Civic,25
1995,Civic,25
1996,Civic,25
1997,Civic,29
1998,Civic,25
1999,Civic,24
2000,Civic,24
2001,Civic,26
2002,Civic,26
2003,Civic,29
2004,Civic,29
2005,Civic,29
2006,Civic,26
2007,Civic,25
2008,Civic,25
2009,Civic,26
2010,Civic,25
2011,Civic,26
2012,Civic,28
2013,Civic,22
2014,Civic,30
1984,Corolla,25
1985,Corolla,24
1986,Corolla,24
1987,Corolla,24
1988,Corolla,23
1989,Corolla,23
1990,Corolla,23
1991,Corolla,23
1992,Corolla,23
1993,Corolla,23
1994,Corolla,23
1995,Corolla,23
1996,Corolla,23
1997,Corolla,22
1998,Corolla,24
1999,Corolla,24
2000,Corolla,24
2001,Corolla,25
2002,Corolla,25
2003,Corolla,25
2004,Corolla,25
2005,Corolla,26
2006,Corolla,26
2007,Corolla,26
2008,Corolla,26
2009,Corolla,22
2010,Corolla,26
2011,Corolla,26
2012,Corolla,26
2013,Corolla,26
2014,Corolla,27
1984,F150 Pickup,13
1985,F150 Pickup,14
1986,F150 Pickup,14
1987,F150 Pickup,12
1988,F150 Pickup,15
1989,F150 Pickup,13
1990,F150 Pickup,15
1991,F150 Pickup,14
1992,F150 Pickup,14
1993,F150 Pickup,14
1994,F150 Pickup,14
1995,F150 Pickup,14
1996,F150 Pickup,12
1997,F150 Pickup,15
1998,F150 Pickup,15
1999,F150 Pickup,14
2000,F150 Pickup,14
2001,F150 Pickup,14
2002,F150 Pickup,15
2003,F150 Pickup,14
2004,F150 Pickup,14
2005,F150 Pickup,14
2006,F150 Pickup,14
2007,F150 Pickup,14
2008,F150 Pickup,14
2009,F150 Pickup,14
2010,F150 Pickup,15
2011,F150 Pickup,13
2012,F150 Pickup,13
2013,F150 Pickup,13
2014,F150 Pickup,16
1984,Mustang,18
1985,Mustang,18
1986,Mustang,18
1987,Mustang,19
1988,Mustang,19
1989,Mustang,18
1990,Mustang,18
1991,Mustang,19
1992,Mustang,19
1993,Mustang,19
1994,Mustang,17
1995,Mustang,17
1996,Mustang,18
1997,Mustang,18
1998,Mustang,17
1999,Mustang,17
2000,Mustang,18
2001,Mustang,17
2002,Mustang,17
2003,Mustang,17
2004,Mustang,17
2005,Mustang,17
2006,Mustang,17
2007,Mustang,16
2008,Mustang,16
2009,Mustang,17
2010,Mustang,16
2011,Mustang,15
2012,Mustang,19
2013,Mustang,19
2014,Mustang,19
